player1_name,player2_name,player1_rank,player2_rank,player1_fitness,player2_fitness,player1_clay_winrate,player2_clay_winrate,player1_recent_form,player2_recent_form,rank_diff,fitness_diff,clay_winrate_diff,recent_form_diff
Damir Dzumhur,Roman Andres Burruchaga,87,66,93.78,86.8,65.99,74.14,69.98,69.72,21,6.98,-8.15,0.26
Alex De Minaur,Ugo Humbert,9,34,90.65,100.0,79.35,59.6,70.04,64.78,-25,-9.35,19.75,5.26
Zizou Bergs,Titouan Droguet,38,110,90.81,79.14,55.41,57.12,67.95,70.8,-72,11.67,-1.71,-2.85
Yibing Wu,Jakub Mensik,93,28,88.51,96.88,45.23,80.23,65.57,79.0,65,-8.37,-35.0,-13.43
Daniil Medvedev,Joao Fonseca,7,30,88.83,94.38,71.65,64.15,75.96,86.84,-23,-5.55,7.5,-10.88
Corentin Moutet,Terence Atmane,32,51,92.6,96.01,73.65,57.15,77.81,73.72,-19,-3.41,16.5,4.09
Fabian Marozsan,Felix Auger-Aliassime,52,5,87.27,98.24,79.1,70.67,90.05,79.55,47,-10.97,8.43,10.5
Mariano Navone,Frances Tiafoe,42,21,91.64,100.0,71.55,70.09,88.88,81.66,21,-8.36,1.46,7.22
Vit Kopriva,Patrick Kypson,63,95,91.06,83.07,68.52,68.1,62.41,54.69,-32,7.99,0.42,7.72
Tomas Machac,Valentin Royer,40,73,89.08,83.53,61.26,63.91,63.89,74.08,-33,5.55,-2.65,-10.19
Stan Wawrinka,Jiri Lehecka,119,14,69.54,98.44,65.38,69.95,81.31,88.04,105,-28.9,-4.57,-6.73
Gabriel Diallo,Flavio Cobolli,48,12,97.2,99.31,78.67,71.45,59.19,83.21,36,-2.11,7.22,-24.02
Gael Monfils,Botic Van De Zandschulp,221,53,60.35,89.75,37.63,71.45,48.19,55.89,168,-29.4,-33.82,-7.7
Nuno Borges,Ethan Quinn,50,49,87.93,100.0,65.63,66.4,70.04,78.85,1,-12.07,-0.77,-8.81
Alejandro Tabilo,Yannick Hanfmann,35,55,93.03,80.24,81.64,62.38,74.45,73.46,-20,12.79,19.26,0.99
Rafael Jodar,Moise Kouame,29,316,89.54,55.0,65.05,25.0,69.47,24.9,-287,34.54,40.05,44.57
Matteo Berrettini,Alexander Zverev,107,3,98.08,94.42,56.57,75.47,64.51,67.89,104,3.66,-18.9,-3.38
Sebastian Baez,Karen Khachanov,62,15,88.53,89.96,56.18,63.04,73.18,77.68,47,-1.43,-6.86,-4.5
Jaume Munar,Casper Ruud,39,17,88.19,100.0,60.65,72.37,89.95,60.83,22,-11.81,-11.72,29.12
Andrey Rublev,Zachary Svajda,13,85,97.91,74.62,66.75,59.66,68.82,67.92,-72,23.29,7.09,0.9
Jannik Sinner,Brandon Nakashima,1,33,97.87,100.0,85.18,46.68,65.22,74.77,-32,-2.13,38.5,-9.55
Alexei Popyrin,Stefanos Tsitsipas,61,82,87.35,90.2,58.31,64.05,71.73,85.49,-21,-2.85,-5.74,-13.76
Martin Landaluce,Adam Walton,67,101,87.33,77.58,71.73,61.47,72.68,58.5,-34,9.75,10.26,14.18
Kamil Majchrzak,Giovanni Mpetshi Perricard,77,80,78.32,90.15,63.0,72.58,72.71,68.37,-3,-11.83,-9.58,4.34
Thiago Agustin Tirante,Hubert Hurkacz,58,78,81.99,92.7,69.99,56.16,72.98,72.25,-20,-10.71,13.83,0.73
Daniel Merida,James Duckworth,86,83,88.65,88.74,57.98,69.28,65.28,65.27,3,-0.09,-11.3,0.01
Tallon Griekspoor,Luciano Darderi,31,16,97.8,90.71,65.14,65.99,73.64,77.65,15,7.09,-0.85,-4.01
Alexander Shevchenko,Adolfo Daniel Vallejo,89,70,87.72,100.0,54.44,59.08,90.31,51.47,19,-12.28,-4.64,38.84
Lorenzo Sonego,Adrian Mannarino,69,44,92.48,92.96,64.53,73.71,79.22,78.17,25,-0.48,-9.18,1.05
